,OR,p,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std,exp_error_5,poly_error_5,exp_error_10,poly_error_10,exp_error_15,poly_error_15
139,0.2,0.04,0.718,0.020123419192572618,0.5176276000000001,0.01450821431039947,0.7208011142061281,0.0007434744398477826,3.518094826890791e-08,2.0622091553782966e-06,2.9302895358746477e-07,0.00037749412868748604,5.172504219054621e-05,0.004654853673969122
140,0.2,0.06,0.724,0.01999119806314769,0.5208400000000001,0.014383193381165393,0.7192657458563535,0.0007712204310917695,6.91527745938085e-08,2.1691488427168262e-06,3.153875361344152e-06,0.0004262897346955381,0.00014847718832265976,0.005403042250423993
141,0.2,0.08,0.7,0.020493901531919198,0.5007472000000001,0.014662116699314597,0.715224,0.0007948493293238228,3.2679046655153554e-08,1.4654268527524126e-06,3.548898710887905e-07,0.0003607555010297658,0.00013897728571142764,0.0051524044496510345
49,0.2,0.1,0.762,0.01904499934365974,0.5454868,0.013641343997257747,0.7157706036745407,0.0008410267586613504,3.2679046655153554e-08,1.4654268527524126e-06,3.7855584726947145e-07,0.00038086246670461326,8.599701954411658e-05,0.004874284049174256
30,0.2,0.12,0.7,0.020493901531919198,0.49854680000000007,0.01459644603112415,0.7120685714285715,0.0007767580680043899,5.0006714729225435e-08,1.7644983549960677e-06,3.7382585596433965e-06,0.0004363927275639734,0.00024914367423056044,0.005847142777019934
31,0.2,0.14,0.716,0.020166506886419373,0.5093348,0.01434954388048345,0.7112497206703912,0.0008126498391222752,5.1947627983517953e-08,1.9136015262701684e-06,8.652733344444929e-07,0.00039281632185344086,0.0002959073421386486,0.006002486212337411
44,0.2,0.16,0.756,0.019207498535728174,0.5367491999999999,0.013641960274048594,0.7098830687830688,0.0007872688362586311,6.91527745938085e-08,2.1691488427168262e-06,1.476892688588855e-06,0.00040317273673148727,0.00014384806296052004,0.005316309858015518
37,0.2,0.18,0.692,0.020646355610615643,0.49053880000000005,0.014637469880724606,0.7087410404624278,0.0008041910356606572,5.0006714729225435e-08,1.7644983549960677e-06,6.582016767784149e-07,0.00039033405980716323,0.00018358093588686603,0.005460356565470906
38,0.2,0.2,0.73,0.019854470529329156,0.5162708,0.01404702239389971,0.7070953424657533,0.0008808026248220151,6.91527745938085e-08,2.1691488427168262e-06,3.7018682911154857e-07,0.0003822394989104285,4.534202343681316e-05,0.0045400417987658
56,0.2,0.22,0.76,0.019099738218101316,0.5355028,0.013465244380415827,0.70452,0.0008213284287126767,5.210560069946754e-08,2.093916906149063e-06,4.0666914336259754e-07,0.0003804069085166322,0.00010494502695433035,0.0049284190670493624
33,0.2,0.24,0.714,0.020209106858047932,0.5026628,0.014234110420827851,0.703896918767507,0.0009046419022265921,3.2679046655153554e-08,1.4654268527524126e-06,5.714983750609932e-07,0.0003842785634288878,5.7044846859466224e-05,0.004716664187608607
18,0.2,0.26,0.708,0.0203340109176719,0.49661360000000004,0.014268234266021846,0.7013,0.0009077375829779092,3.2959540834884474e-08,1.6892664184283041e-06,1.6007948488004838e-06,0.0004017003562993745,0.0002458580937685664,0.0058141020750787425
32,0.2,0.28,0.704,0.020414896521902825,0.49314720000000006,0.014306162046625923,0.7003789772727272,0.0008839910536758303,6.91527745938085e-08,2.1691488427168262e-06,1.2257723865100514e-06,0.00040026122826246444,0.00015769573031508728,0.005356111464161397
26,0.2,0.3,0.74,0.019616319736382767,0.5167132,0.013703474799171195,0.6981567567567567,0.0008378299394052642,1.6034888404324846e-08,1.6575586676575376e-06,1.8248379232171838e-07,0.0003742695187923324,0.00015605808251040393,0.005262269437268813
