,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
30,w3,5,0.5,500,0.688,0.020719845559269985,0.5241967999999999,0.015786925050164772,0.7617895348837208,0.0007505552879782898
13,w3,5,1.0,500,0.674,0.020963015050321363,0.5116028,0.015911138472916385,0.7589169139465876,0.0007446834138371556
72,w3,5,1.5,500,0.696,0.020571047615520217,0.5272076,0.015581305795230387,0.7573540229885056,0.0007071431233353684
64,w3,5,2.0,500,0.7,0.020493901531919198,0.5283372,0.015467947161544095,0.754641142857143,0.0007300489642111498
20,w3,5,2.5,500,0.664,0.02112363605064242,0.49929920000000005,0.015883200458305623,0.7518030120481928,0.000796102725035695
25,w3,5,3.0,500,0.688,0.020719845559269985,0.5146916,0.01550126625082222,0.747972093023256,0.0007746109175115706
87,w3,5,3.5,500,0.672,0.02099599961897504,0.501068,0.015654929243915476,0.7454916666666667,0.0007824611171783998
2,w3,5,4.0,500,0.668,0.02106067425321421,0.4973184,0.01567745178665462,0.7443431137724551,0.0007135966053129545
57,w3,5,4.5,500,0.686,0.020755914819636352,0.5086844,0.01539068182483414,0.741398250728863,0.0007193924602800412
89,w3,5,5.0,500,0.68,0.020861447696648473,0.5029948,0.015430164228092973,0.7395558823529412,0.0007427072091848903
58,w3,10,0.0,500,0.714,0.020209106858047932,0.545014,0.015426373367969542,0.7632207282913164,0.0006790436338386034
1,w3,10,0.5,500,0.694,0.020608930103234373,0.5280876,0.01568212053558064,0.7608046109510087,0.0007551061010762571
47,w3,10,1.0,500,0.674,0.020963015050321363,0.5116028,0.015911138472916385,0.7589169139465876,0.0007446834138371556
90,w3,10,1.5,500,0.666,0.02109236828807993,0.5037812,0.01595212695326614,0.7562744744744744,0.0007080920169808559
96,w3,10,2.0,500,0.674,0.020963015050321363,0.5075808,0.015785828537733457,0.7529477744807122,0.0007369746751188918
38,w3,10,2.5,500,0.668,0.02106067425321421,0.5015348,0.015810333480920636,0.7506556886227544,0.0007121311718899947
8,w3,10,3.0,500,0.7,0.020493901531919198,0.5241336,0.015345516707562505,0.7486342857142858,0.0007589405535668763
53,w3,10,3.5,500,0.714,0.020209106858047932,0.5335132000000001,0.015102512590013622,0.7471064425770307,0.0007600981380921853
31,w3,10,4.0,500,0.66,0.021184900282984576,0.49151920000000004,0.015777160496829586,0.7445927272727273,0.0007855185074116763
79,w3,10,4.5,500,0.692,0.020646355610615643,0.5137368,0.015329254155748089,0.742264739884393,0.0008078592007545352
71,w3,10,5.0,500,0.676,0.020929596269398033,0.5003236,0.015490228156036954,0.7399775147928993,0.0007887131669507781
23,w3,15,0.0,500,0.688,0.020719845559269985,0.5252652000000001,0.015818672772957912,0.7633418604651163,0.0007337801109053551
62,w3,15,0.5,500,0.722,0.020035768016225385,0.5503263999999999,0.015273712990824462,0.7621218836565097,0.0007411764979469496
81,w3,15,1.0,500,0.674,0.020963015050321363,0.5116028,0.015911138472916385,0.7589169139465876,0.0007446834138371556
29,w3,15,1.5,500,0.678,0.020895741192884256,0.5130024000000001,0.015810191214165627,0.7565032448377582,0.0007664538052621245
35,w3,15,2.0,500,0.68,0.020861447696648473,0.513664,0.015756910198639833,0.7552617647058824,0.0006737717451355831
75,w3,15,2.5,500,0.686,0.020755914819636352,0.5157936,0.01560547008449537,0.7517580174927112,0.0007207334113986792
70,w3,15,3.0,500,0.702,0.020454632727086548,0.5276096,0.015373586953462748,0.7514478632478632,0.0007654128949003126
15,w3,15,3.5,500,0.72,0.020079840636817812,0.5379444,0.015003736133952767,0.7470244444444445,0.0007541119014742641
94,w3,15,4.0,500,0.732,0.0198078772209442,0.5438027999999999,0.014715950632708712,0.7427830601092896,0.0007153997631676686
41,w3,15,4.5,500,0.738,0.01966499427917537,0.54776,0.014597904397549669,0.7421230352303523,0.0007154605720622317
11,w3,15,5.0,500,0.716,0.020166506886419373,0.5292864,0.014907889533736155,0.7391055865921786,0.0007183017722340862
